Architecture,PSNR (dB),Δ PSNR,SSIM,Δ SSIM,MAE,Δ MAE,MSE,Δ MSE
A. Linear Z,16.9237,0.0,0.501,0.0,0.081384,0.0,0.020306,0.0
B. Trilinear,16.9237,0.0,0.501,0.0,0.081384,0.0,0.020306,0.0
C. Standalone 3D CNN,16.6781,-0.2456,0.4566,-0.0444,0.085832,0.004448,0.021488,0.001182
D. Proposed (Tri+CNN),17.7776,0.8539,0.5221,0.0211,0.072955,-0.008429,0.016682,-0.003624
